state,number of graduates,Population,% graduate
California,1047,37659181.0,0.0027801985391025896
California,9446,37659181.0,0.025082860936354402
California,25862,37659181.0,0.06867382485030675
California,9377,37659181.0,0.02489963868306111
California,543,37659181.0,0.001441879471568965
California,661,37659181.0,0.0017552160786502501
California,188,37659181.0,0.0004992142553498441
California,19331,37659181.0,0.0513314402668502
California,5435,37659181.0,0.014432071690565974
California,29999,37659181.0,0.0796591938629786
California,22094,37659181.0,0.05866829658350775
California,990,37659181.0,0.0026288410255124774
California,1199,37659181.0,0.003183818575342889
California,10720,37659181.0,0.028465834134842178
California,8479,37659181.0,0.022515093995273027
California,18374,37659181.0,0.04879022727552147
California,1024,37659181.0,0.0027191244546714917
California,2533,37659181.0,0.006726115472346571
California,10067,37659181.0,0.026731861215994048
California,12329,37659181.0,0.03273836465004377
California,3055,37659181.0,0.008112231649434967
California,9583,37659181.0,0.02544665004796573
California,8391,37659181.0,0.022281419237449696
California,374,37659181.0,0.000993117720749158
California,2135,37659181.0,0.00566926827219105
California,898,37659181.0,0.0023845446877880853
California,19591,37659181.0,0.05202184296041913
California,237,37659181.0,0.0006293286091378354
California,18445,37659181.0,0.048978760318765295
California,5444,37659181.0,0.01445597024534336
California,366,37659181.0,0.000971874560947037
California,265,37659181.0,0.000703679668445259
California,2732,37659181.0,0.007254539072424331
California,753,37659181.0,0.0019995124163746415
California,925,37659181.0,0.002456240352120244
California,12908,37659181.0,0.03427583834072228
California,11504,37659181.0,0.03054766379545004
California,6471,37659181.0,0.01718306088494065
Minnesota,8205,5347740.0,0.15342929910579048
California,3055,37659181.0,0.008112231649434967
California,10767,37659181.0,0.028590637698679637
California,9636,37659181.0,0.025587385981654782
California,1267,37659181.0,0.0033643854336609176
California,1308,37659181.0,0.0034732566276467884
California,1656,37659181.0,0.004397334079039053
California,1357,37659181.0,0.003603370981434779
California,131,37659181.0,0.0003478567417597319
California,6874,37659181.0,0.018253185059972494
Colorado,2284,5119329.0,0.044615222033981404
Colorado,4955,5119329.0,0.09679002853694303
Colorado,11621,5119329.0,0.2270024059793774
Colorado,576,5119329.0,0.011251474558482176
Colorado,389,5119329.0,0.007598652088974943
Colorado,13010,5119329.0,0.2541348680657172
Colorado,9220,5119329.0,0.18010172817570427
Colorado,434,5119329.0,0.008477673538856362
Colorado,26096,5119329.0,0.5097543056912341
Colorado,4973,5119329.0,0.0971416371168956
Colorado,2041,5119329.0,0.039868506204621734
Colorado,847,5119329.0,0.01654513706776806
Colorado,1794,5119329.0,0.03504365513527261
Colorado,5893,5119329.0,0.11511274231447129
Colorado,1138,5119329.0,0.022229475777001243
Colorado,4291,5119329.0,0.08381957869869273
Colorado,182,5119329.0,0.0035551534195204094
Colorado,23548,5119329.0,0.4599821578179484
Colorado,1216,5119329.0,0.023753112956795705
Colorado,7874,5119329.0,0.15380921991925114
Colorado,497,5119329.0,0.00970830356869035
Colorado,34,5119329.0,0.0006641495399104062
Colorado,10432,5119329.0,0.2037767058925105
Colorado,1262,5119329.0,0.024651668216674492
Colorado,438,5119329.0,0.008555808778845821
Colorado,5517,5119329.0,0.10776802975546208
Colorado,3984,5119329.0,0.07782269902950172
Colorado,19619,5119329.0,0.3832338183383018
Colorado,902,5119329.0,0.017619496617623128
Colorado,9576,5119329.0,0.18705576453476616
Colorado,22289,5119329.0,0.43538909103126605
Colorado,1851,5119329.0,0.03615708230512241
Colorado,383,5119329.0,0.007481449228990752
Colorado,281,5119329.0,0.005489000609259534
Colorado,258,5119329.0,0.005039722979320141
Colorado,889,5119329.0,0.017365557087657385
Colorado,1962,5119329.0,0.03832533521482991
Colorado,9947,5119329.0,0.19430280804378855
Colorado,1449,5119329.0,0.028304490686181724
Colorado,371,5119329.0,0.007247043509022374
Colorado,14634,5119329.0,0.2858577755014378
Colorado,339,5119329.0,0.0066219615891066974
Colorado,6718,5119329.0,0.13122813556229734
Colorado,8599,5119329.0,0.16797123216734067
Colorado,5172,5119329.0,0.1010288653063712
Colorado,739,5119329.0,0.014435485588052651
Colorado,5207,5119329.0,0.10171254865627899
Colorado,815,5119329.0,0.015920055147852386
Colorado,536,5119329.0,0.01047012215858758
Colorado,1791,5119329.0,0.03498505370528052
Colorado,2193,5119329.0,0.0428376453242212
Connecticut,1278,3583561.0,0.035662850444013655
Connecticut,1715,3583561.0,0.047857424500378255
Connecticut,837,3583561.0,0.023356655572487815
Connecticut,2835,3583561.0,0.07911125274552323
Connecticut,9771,3583561.0,0.27266174623509964
Connecticut,1915,3583561.0,0.05343846525843986
Connecticut,18032,3583561.0,0.5031866347468342
Connecticut,3388,3583561.0,0.09454283044156357
Connecticut,5179,3583561.0,0.14452105043000524
Connecticut,3873,3583561.0,0.10807685427986295
Connecticut,4168,3583561.0,0.11630888939800382
Connecticut,5187,3583561.0,0.14474429206032768
Connecticut,5813,3583561.0,0.16221294963306052
Connecticut,7571,3583561.0,0.21127029789642202
Connecticut,7294,3583561.0,0.20354055644650668
Connecticut,2900,3583561.0,0.08092509099189325
Connecticut,866,3583561.0,0.024165906482406744
Connecticut,4749,3583561.0,0.13252181280017278
Connecticut,4864,3583561.0,0.1357309112360582
Connecticut,6556,3583561.0,0.18294651604925938
Connecticut,1549,3583561.0,0.043225160671187125
Connecticut,155,3583561.0,0.004325306587497743
Connecticut,7371,3583561.0,0.20568925713836042
Connecticut,1929,3583561.0,0.05382913811150417
Connecticut,6542,3583561.0,0.18255584319619508
Connecticut,4489,3583561.0,0.1252664598146927
Connecticut,1049,3583561.0,0.029272558776033117
Connecticut,8186,3583561.0,0.22843199822746144
Connecticut,827,3583561.0,0.023077603534584733
Connecticut,8257,3583561.0,0.23041326769657333
Connecticut,2301,3583561.0,0.06420987392149875
Connecticut,4547,3583561.0,0.12688496163453056
Connecticut,2906,3583561.0,0.08109252221463512
Connecticut,5492,3583561.0,0.15325537921637164
Connecticut,5430,3583561.0,0.15152525658137253
Delaware,4429,908446.0,0.4875358579376209
Delaware,3031,908446.0,0.3336466889611491
Delaware,7030,908446.0,0.7738489684582243
Delaware,3892,908446.0,0.4284239239316371
Delaware,18487,908446.0,2.0350136386752764
Delaware,554,908446.0,0.06098326152572635
Delaware,1600,908446.0,0.17612494303458873
Delaware,8611,908446.0,0.9478824277942773
District of Columbia,7340,619371.0,1.1850732436617148
District of Columbia,3713,619371.0,0.5994791490076223
District of Columbia,323,619371.0,0.05214968088593105
District of Columbia,4712,619371.0,0.7607718152771118
District of Columbia,1077,619371.0,0.17388608765990013
District of Columbia,10357,619371.0,1.672180324877981
District of Columbia,7636,619371.0,1.232863663297119
District of Columbia,6974,619371.0,1.1259810355990192
Virginia,1373,8100653.0,0.016949250881379562
District of Columbia,883,619371.0,0.1425639883042635
District of Columbia,1853,619371.0,0.29917448508244654
Florida,1924,19091156.0,0.01007796489641591
Florida,507,19091156.0,0.002655679938920409
Florida,4341,19091156.0,0.022738277346851077
Florida,3724,19091156.0,0.019506414383707302
Florida,1785,19091156.0,0.009349879074897299
Florida,16711,19091156.0,0.0875326774345147
Florida,43883,19091156.0,0.2298603604726712
Florida,59,19091156.0,0.0003090436220834401
Florida,294,19091156.0,0.0015399800829242606
Florida,8162,19091156.0,0.04275278039737353
Florida,302,19091156.0,0.0015818843028677781
Florida,51333,19091156.0,0.2688836652950717
Florida,2160,19091156.0,0.01131413938474967
Florida,495,19091156.0,0.002592823609005133
Florida,14865,19091156.0,0.07786327868254808
Florida,973,19091156.0,0.005096600750630292
Florida,2173,19091156.0,0.011382233742157888
Florida,15423,19091156.0,0.08078609802360842
Florida,862,19091156.0,0.004515179698913989
Florida,4679,19091156.0,0.024508730639464682
Florida,8930,19091156.0,0.046775585511951184
Florida,25790,19091156.0,0.1350887290429139
Florida,28134,19091156.0,0.14736666548636446
Florida,2839,19091156.0,0.014870760052455701
Florida,558,19091156.0,0.0029228193410603316
Florida,630,19091156.0,0.0032999573205519874
Florida,508,19091156.0,0.0026609179664133487
Florida,454,19091156.0,0.002378064481794607
Florida,2160,19091156.0,0.01131413938474967
Florida,3257,19091156.0,0.01706025554450448
Florida,39142,19091156.0,0.2050268721286443
Florida,1139,19091156.0,0.005966113314458276
Florida,1517,19091156.0,0.007946087706789468
Florida,5818,19091156.0,0.03047484395392296
Florida,2416,19091156.0,0.012655074422942225
Florida,32528,19091156.0,0.17038255829034135
Florida,4330,19091156.0,0.02268065904442874
Florida,99,19091156.0,0.0005185647218010266
Florida,33168,19091156.0,0.17373489588582272
Florida,1746,19091156.0,0.009145596002672651
Florida,18880,19091156.0,0.09889395906670083
Florida,6271,19091156.0,0.03284767040822462
